LT,LS,LB,WT,WB,Wfi,Fleet
190,155,135,135.8,50.2,28.7,2
180,145,140,137.3,63.1,39.9,1
189,151,135,138.7,53.2,28,1
185,150,148,139.3,61.7,37.5,1
185,155,150,139.3,63.3,41.9,1
191,156,143,139.9,56.2,35,2
200,162,150,141,59.2,35.7,2
198,164,146,142,62,39.3,2
195,165,140,142,62.7,38.2,2
190,154,135,142.1,59.2,35.1,2
180,150,130,144.2,65.1,42.2,1
195,160,145,144.2,67.5,40.3,2
190,155,145,144.8,59,36.4,2
190,155,150,145.3,66.8,44.4,1
185,155,140,145.4,65.4,40.3,2
192,157,145,146,63,38,2
200,162,145,146.3,68.8,41.4,2
190,150,130,147,63,41.7,2
192,158,125,147.5,67,39.9,2
195,153,138,147.9,66.6,41.1,2
185,150,140,148.1,69.6,41,1
190,155,150,148.3,69.7,39.5,2
185,155,135,148.7,61.8,41,1
190,155,140,149,64.8,40.3,1
186,153,132,149.8,64.4,45.1,1
197,165,140,150.4,73.1,48.3,2
194,161,138,151.6,53,31.7,2
190,160,145,152.5,87.7,71.2,1
195,158,145,153.6,63.3,42.3,2
195,160,140,153.7,66.3,41.5,1
194,153,132,154.1,62.8,41.6,2
190,152,148,155,67,41,1
195,155,140,155,75,46,1
198,160,150,155.8,87.6,50.8,2
190,155,145,156,70.1,48.7,1
202,162,151,156.9,66.2,36.3,2
200,160,155,157,72.7,46.4,1
195,160,150,158,73.7,47.9,1
195,160,145,160.1,72.4,46.7,1
195,160,148,160.2,65.5,43,1
205,170,155,162.1,75.6,43.5,2
195,160,145,162.3,75.3,36.6,1
195,160,135,163.5,63,40.3,1
190,150,140,163.6,73.1,47.2,1
210,170,160,164,70,42.7,2
190,155,140,165.3,79.3,48.5,1
205,160,150,165.5,77,50.5,2
195,160,155,165.7,76.5,51.3,1
200,164,147,167,66,40,1
195,155,145,167,74.4,39.7,1
200,160,147,168,66,44,1
190,150,145,169,76,49.6,1
203,170,150,169,84.8,55.4,2
205,175,150,170,64,46,1
188,150,140,170,73,47.5,1
200,160,150,170,82,52,1
205,170,150,170.9,85.1,57.9,2
210,170,150,171.8,82,50.5,2
200,165,146,172,62.3,39.5,2
192,152,142,172,74,42,1
205,165,155,173.5,83.2,54,2
192,157,136,173.7,65.5,35.9,2
199,166,148,174.5,69.8,40.6,2
205,163,150,175,80,53,1
194,160,145,175.6,71.3,44.8,2
